Timestamp,What grade are you in?,Which Pathway are you in?,I am,Do you like coming to school?,Do you feel safe at school?,Do you have at least one good friend at school?,Do you have at least one adult you can talk to at school when you need help?,Do you feel your school effectively addresses the mental health needs of you and your classmates?,Do your teachers encourage you to take positive risks at school?,Are you aware of the seven traits your school is trying to develop in students?,Does your school have you do things that help you learn these traits?,Are you aware of our requirement to complete a Capstone project before you graduate?,Do you feel you are prepared to complete a Capstone project before you graduate?,Do you feel your school experience is adequately preparing you for the real world?
2/14/2022 8:40:57,11th,STEAM,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:41:44,11th,STEAM,,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:42:20,12th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 8:43:47,12th,"Skilled Trades, Security, and Industry",,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,,Yes,Yes,I'm not sure
2/14/2022 8:45:00,12th,TOP,Female,Very much,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:46:32,11th,"Skilled Trades, Security, and Industry",Female,Sort of,Very much,Yes,Yes,I think so,Yes,No,No,Yes,No,I think so
2/14/2022 8:47:33,11th,Base Camp,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,No,I'm not sure
2/14/2022 8:48:35,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:49:25,11th,TOP,Female,Not really,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 8:50:49,11th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 8:52:33,11th,,Male,Sort of,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 8:56:24,10th,STEAM,Male,Not really,Very much,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 8:57:41,11th,,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 8:57:53,11th,"Skilled Trades, Security, and Industry",Male,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:00:13,12th,Health and Business,Female,Not really,No,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:04:06,10th,"Skilled Trades, Security, and Industry",Female,Very much,Very much,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,Not at all
2/14/2022 9:06:54,10th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,Not at all
2/14/2022 9:07:22,10th,STEAM,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:07:53,10th,Health and Business,Female,Not really,Sort of,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:08:33,11th,STEAM,Male,Sort of,Sort of,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:08:33,10th,,Male,Sort of,No,Yes,Yes,I'm not sure,No,No,No,Yes,No,Not at all
2/14/2022 9:08:42,9th,"Arts, Hospitality, and Education",Male,Not really,No,Yes,Yes,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:09:19,10th,STEAM,Female,Sort of,Sort of,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:12:24,10th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,No,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:12:44,11th,"Arts, Hospitality, and Education",Male,Very much,No,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:13:48,11th,STEAM,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:14:12,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:14:18,10th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,Not at all,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:21:01,11th,STEAM,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:22:02,11th,,Male,Sort of,Very much,Yes,No,,,No,Yes,Yes,No,
2/14/2022 9:22:04,10th,STEAM,Male,Sort of,Very much,Yes,No,Not at all,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:22:14,10th,STEAM,Female,Sort of,Very much,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:22:17,11th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I think so,No,No,No,No,No,I think so
2/14/2022 9:22:35,9th,Health and Business,Male,Sort of,Very much,No,Yes,I think so,No,No,No,No,No,Not at all
2/14/2022 9:22:47,12th,Health and Business,Female,Very much,Very much,Yes,Yes,I think so,No,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:22:47,11th,STEAM,Male,Sort of,Very much,Yes,No,Not at all,No,No,No,No,No,Not at all
2/14/2022 9:22:49,10th,Health and Business,Female,Sort of,Sort of,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:22:55,11th,Health and Business,Female,Sort of,No,Yes,No,I'm not sure,No,No,No,Yes,No,Not at all
2/14/2022 9:22:57,11th,"Skilled Trades, Security, and Industry",Male,Sort of,No,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:22:59,10th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,No,Not at all
2/14/2022 9:23:00,11th,STEAM,Male,Sort of,Sort of,Yes,No,Not at all,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:23:02,9th,TOP,Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:04,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:23:06,11th,Health and Business,Female,Not really,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:08,11th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:11,11th,,Male,Sort of,Sort of,No,No,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:12,11th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:23:17,11th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:17,11th,,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,No,I'm not sure
2/14/2022 9:23:18,10th,TOP,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:19,11th,"Skilled Trades, Security, and Industry",Male,Not really,Sort of,Yes,No,I'm not sure,No,No,No,Yes,No,Not at all
2/14/2022 9:23:22,10th,,Male,Very much,Very much,,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:24,9th,,Female,Not really,No,Yes,Yes,Not at all,Yes,No,Yes,Yes,No,Not at all
2/14/2022 9:23:24,12th,TOP,Female,Very much,Very much,Yes,Yes,I'm not sure,No,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:27,11th,STEAM,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:27,11th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:29,10th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,Not at all
2/14/2022 9:23:29,9th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:29,11th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:29,9th,"Arts, Hospitality, and Education",Female,Not really,Very much,Yes,Yes,I think so,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:30,10th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:30,9th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:30,11th,"Skilled Trades, Security, and Industry",Male,Not really,Very much,No,Yes,I think so,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:30,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,No,I'm not sure,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:23:30,10th,STEAM,Male,Sort of,Very much,Yes,No,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:31,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:23:31,11th,STEAM,Male,Not really,Sort of,Yes,Yes,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:23:31,10th,STEAM,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:32,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:32,11th,TOP,Male,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:33,10th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,No,Not at all
2/14/2022 9:23:34,9th,,Male,Not really,Sort of,No,No,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:23:34,10th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:35,11th,Health and Business,Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:36,12th,STEAM,,Not really,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:36,9th,Base Camp,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:37,11th,STEAM,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:37,12th,"Arts, Hospitality, and Education",Male,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:23:37,9th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:37,12th,TOP,Male,,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:38,12th,"Arts, Hospitality, and Education",Female,Very much,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:38,11th,Health and Business,Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:39,9th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:40,9th,,Male,Very much,Sort of,Yes,Yes,Not at all,No,No,No,Yes,No,Not at all
2/14/2022 9:23:40,9th,,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:41,11th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:23:41,9th,STEAM,Male,Sort of,Very much,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:42,11th,"Skilled Trades, Security, and Industry",Male,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:42,9th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:46,9th,STEAM,Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:46,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,No,No,I think so,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:47,10th,STEAM,Female,Not really,Sort of,Yes,Yes,I think so,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:47,11th,"Skilled Trades, Security, and Industry",Female,Sort of,No,Yes,Yes,Not at all,Yes,No,No,Yes,No,Not at all
2/14/2022 9:23:47,10th,Health and Business,Male,Not really,Sort of,No,No,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:23:48,9th,STEAM,,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:48,11th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,No,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:23:50,9th,,Female,Not really,Sort of,Yes,No,I'm not sure,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:23:50,11th,STEAM,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:51,9th,STEAM,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:51,11th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:52,9th,Base Camp,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I think so
2/14/2022 9:23:53,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:53,10th,TOP,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:53,10th,STEAM,Male,Not really,Very much,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:54,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:55,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:23:55,11th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:55,9th,Base Camp,Female,Very much,Very much,Yes,No,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:23:56,11th,Health and Business,Female,Sort of,Sort of,Yes,No,I'm not sure,No,No,No,Yes,No,I'm not sure
2/14/2022 9:23:56,10th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:57,10th,,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,No,I think so
2/14/2022 9:23:57,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I think so
2/14/2022 9:23:57,10th,STEAM,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:23:57,10th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:23:59,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:23:59,9th,STEAM,Male,Not really,Very much,Yes,No,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:23:59,11th,,Female,Not really,Sort of,No,No,I'm not sure,No,No,No,Yes,No,I'm not sure
2/14/2022 9:24:01,9th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:24:01,10th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:02,9th,,Male,Not really,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:24:03,10th,"Skilled Trades, Security, and Industry",Male,Very much,No,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:03,11th,"Arts, Hospitality, and Education",Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:03,10th,STEAM,Male,Not really,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:04,11th,STEAM,Female,Sort of,Sort of,Yes,Yes,I'm not sure,No,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:24:05,9th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:05,10th,STEAM,Female,Not really,No,Yes,Yes,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:24:06,10th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:07,10th,STEAM,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:24:07,10th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:24:07,11th,Health and Business,Female,Not really,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:24:08,11th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:08,9th,Health and Business,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:08,9th,"Arts, Hospitality, and Education",,Not really,Sort of,Yes,No,I'm not sure,No,No,No,Yes,No,I'm not sure
2/14/2022 9:24:09,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:24:09,11th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:09,11th,"Arts, Hospitality, and Education",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:10,10th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:10,9th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:10,11th,STEAM,Male,Not really,Very much,No,Yes,I'm not sure,Yes,No,No,Yes,No,I think so
2/14/2022 9:24:12,10th,STEAM,Male,Not really,Sort of,Yes,Yes,I think so,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:24:13,10th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:14,11th,STEAM,Female,Not really,Sort of,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:14,9th,,Female,Sort of,Sort of,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:24:14,10th,STEAM,Female,Sort of,Very much,Yes,Yes,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:14,11th,TOP,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:14,9th,,Male,Sort of,Sort of,No,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:15,12th,"Arts, Hospitality, and Education",Female,Not really,Sort of,No,Yes,I think so,No,No,No,,Yes,I'm not sure
2/14/2022 9:24:15,12th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:16,10th,Health and Business,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:16,9th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:16,10th,"Skilled Trades, Security, and Industry",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:16,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,,,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:24:17,11th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:17,11th,STEAM,Female,Sort of,Sort of,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:24:17,9th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:18,11th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:24:19,9th,Health and Business,,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,,Yes,No,I'm not sure
2/14/2022 9:24:19,10th,Health and Business,Female,Sort of,Sort of,Yes,Yes,Not at all,Yes,No,Yes,Yes,No,I'm not sure
