Timestamp,What grade are you in?,Which Pathway are you in?,I am,Do you like coming to school?,Do you feel safe at school?,Do you have at least one good friend at school?,Do you have at least one adult you can talk to at school when you need help?,Do you feel your school effectively addresses the mental health needs of you and your classmates?,Do your teachers encourage you to take positive risks at school?,Are you aware of the seven traits your school is trying to develop in students?,Does your school have you do things that help you learn these traits?,Are you aware of our requirement to complete a Capstone project before you graduate?,Do you feel you are prepared to complete a Capstone project before you graduate?,Do you feel your school experience is adequately preparing you for the real world?
2/14/2022 9:24:19,10th,STEAM,Female,Sort of,No,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:24:20,10th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:20,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:24:20,10th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:21,10th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:21,10th,STEAM,Female,Not really,No,Yes,Yes,I think so,No,Yes,No,Yes,Yes,Not at all
2/14/2022 9:24:22,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:24,9th,,Male,Not really,Very much,Yes,No,I'm not sure,Yes,Yes,No,Yes,No,Not at all
2/14/2022 9:24:24,10th,"Skilled Trades, Security, and Industry",Male,Sort of,No,Yes,No,I'm not sure,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:24:24,9th,STEAM,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:25,10th,TOP,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:26,10th,TOP,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:26,10th,Health and Business,Male,Not really,No,Yes,No,Not at all,Yes,No,No,Yes,No,Not at all
2/14/2022 9:24:26,11th,STEAM,Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:26,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,
2/14/2022 9:24:26,11th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:26,9th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:27,11th,STEAM,Male,Sort of,Sort of,Yes,No,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:27,12th,"Skilled Trades, Security, and Industry",Female,Sort of,Very much,No,Yes,I think so,Yes,Yes,No,Yes,Yes,Not at all
2/14/2022 9:24:27,9th,STEAM,Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:28,11th,Health and Business,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:29,12th,,Female,Not really,Sort of,Yes,Yes,I'm not sure,No,No,No,No,No,Not at all
2/14/2022 9:24:29,11th,TOP,Female,Not really,Sort of,Yes,Yes,I think so,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:30,9th,Health and Business,Female,Very much,Very much,Yes,Yes,I'm not sure,No,Yes,Yes,No,No,I'm not sure
2/14/2022 9:24:30,9th,"Skilled Trades, Security, and Industry",Male,Not really,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:24:30,11th,Health and Business,Male,Not really,Very much,Yes,No,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:30,10th,STEAM,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:31,10th,"Skilled Trades, Security, and Industry",Male,Very much,Sort of,,No,Not at all,No,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:24:32,9th,STEAM,Female,Very much,Very much,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:32,9th,Base Camp,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,Not at all
2/14/2022 9:24:32,11th,STEAM,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I'm not sure
2/14/2022 9:24:32,10th,STEAM,Male,Not really,Sort of,Yes,No,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:33,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:35,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:36,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,No,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:37,10th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:38,10th,Health and Business,Male,Sort of,Sort of,Yes,Yes,I think so,No,No,No,Yes,Yes,I think so
2/14/2022 9:24:39,11th,Health and Business,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:39,11th,"Arts, Hospitality, and Education",Female,Not really,Very much,Yes,Yes,I think so,No,No,Yes,Yes,No,I'm not sure
2/14/2022 9:24:39,12th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:24:40,9th,"Skilled Trades, Security, and Industry",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:40,12th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:41,9th,,Male,Not really,Sort of,Yes,No,Not at all,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:24:41,10th,"Arts, Hospitality, and Education",Male,Not really,No,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:24:41,10th,STEAM,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:42,10th,,Male,Sort of,Sort of,Yes,No,I think so,No,No,Yes,Yes,No,I'm not sure
2/14/2022 9:24:42,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:43,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:45,11th,"Arts, Hospitality, and Education",Female,Not really,Sort of,,,Not at all,No,No,No,No,No,Not at all
2/14/2022 9:24:45,10th,,Male,Sort of,No,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:45,9th,TOP,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,Not at all
2/14/2022 9:24:46,10th,"Arts, Hospitality, and Education",Female,Not really,Very much,Yes,No,Not at all,Yes,No,No,Yes,No,Not at all
2/14/2022 9:24:46,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:24:46,12th,,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:46,11th,"Arts, Hospitality, and Education",Male,Very much,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:46,9th,TOP,Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:47,9th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,Yes,I think so,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:47,9th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:47,9th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:49,9th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,No,Not at all,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:49,12th,STEAM,Male,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:49,10th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,No,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:50,9th,STEAM,Male,Not really,Sort of,Yes,Yes,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:24:50,10th,STEAM,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:52,9th,"Skilled Trades, Security, and Industry",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:52,11th,"Skilled Trades, Security, and Industry",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:52,12th,Base Camp,Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:52,9th,Base Camp,Female,Not really,No,Yes,No,Not at all,No,No,No,Yes,No,Not at all
2/14/2022 9:24:53,11th,STEAM,Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:53,9th,,Male,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:53,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,No,No,No,Yes,No,Not at all
2/14/2022 9:24:54,10th,Health and Business,Female,Not really,Sort of,Yes,No,I'm not sure,Yes,Yes,Yes,Yes,No,Not at all
2/14/2022 9:24:54,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,No,No,Yes,No,No,I'm not sure
2/14/2022 9:24:54,9th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:56,11th,"Skilled Trades, Security, and Industry",Male,Not really,Sort of,Yes,No,I'm not sure,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:24:56,9th,"Skilled Trades, Security, and Industry",Male,Sort of,Very much,,No,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:24:58,10th,"Skilled Trades, Security, and Industry",,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:24:58,10th,Health and Business,Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:00,11th,"Arts, Hospitality, and Education",Male,Not really,Sort of,Yes,Yes,Not at all,Yes,No,No,Yes,No,Not at all
2/14/2022 9:25:01,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:25:01,12th,Health and Business,Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,Not at all
2/14/2022 9:25:01,9th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:25:01,9th,Health and Business,Female,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:02,11th,STEAM,Male,Sort of,Very much,Yes,Yes,Not at all,No,No,No,No,No,Not at all
2/14/2022 9:25:02,12th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I think so,Yes,No,Yes,Yes,Yes,I think so
2/14/2022 9:25:02,12th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:03,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:25:03,9th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:05,10th,Health and Business,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:06,11th,"Skilled Trades, Security, and Industry",Male,Not really,No,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,Not at all
2/14/2022 9:25:07,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,Not at all
2/14/2022 9:25:07,9th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:25:07,9th,Health and Business,Female,Not really,Sort of,Yes,Yes,Not at all,No,No,No,Yes,No,I'm not sure
2/14/2022 9:25:08,9th,STEAM,Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:08,9th,STEAM,Male,Sort of,Sort of,Yes,No,Not at all,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:25:09,10th,STEAM,Female,Sort of,Very much,Yes,No,Not at all,No,No,No,Yes,No,I'm not sure
2/14/2022 9:25:10,9th,TOP,Male,Not really,Sort of,Yes,Yes,I think so,Yes,No,Yes,No,No,I think so
2/14/2022 9:25:11,9th,Base Camp,Male,Sort of,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:11,12th,Health and Business,Female,Not really,Sort of,Yes,Yes,Not at all,Yes,No,No,Yes,No,Not at all
2/14/2022 9:25:13,11th,"Arts, Hospitality, and Education",Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:14,9th,"Skilled Trades, Security, and Industry",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:16,9th,Health and Business,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:17,10th,"Arts, Hospitality, and Education",Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:17,11th,"Arts, Hospitality, and Education",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,No,I'm not sure
2/14/2022 9:25:17,12th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:18,9th,,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:18,10th,Health and Business,Female,Not really,No,Yes,No,Not at all,No,No,No,No,No,Not at all
2/14/2022 9:25:18,10th,Health and Business,Female,Not really,No,Yes,Yes,Not at all,Yes,No,No,Yes,Yes,I think so
2/14/2022 9:25:19,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:25:20,10th,"Skilled Trades, Security, and Industry",Male,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:20,11th,STEAM,Male,Not really,No,No,Yes,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:25:21,11th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:25:22,9th,"Skilled Trades, Security, and Industry",Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:23,11th,STEAM,Male,Sort of,Sort of,Yes,Yes,Not at all,Yes,No,Yes,Yes,No,I'm not sure
2/14/2022 9:25:24,10th,Health and Business,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:24,10th,,Male,Not really,No,Yes,Yes,Not at all,No,No,No,Yes,No,Not at all
2/14/2022 9:25:25,11th,STEAM,Female,Sort of,Very much,No,Yes,I think so,Yes,Yes,No,Yes,No,I think so
2/14/2022 9:25:26,10th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,I think so
2/14/2022 9:25:26,11th,STEAM,Male,Not really,Sort of,Yes,Yes,I'm not sure,No,No,No,Yes,No,I'm not sure
2/14/2022 9:25:26,10th,STEAM,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:27,12th,"Arts, Hospitality, and Education",Male,Sort of,Sort of,Yes,Yes,I'm not sure,No,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:25:28,10th,Health and Business,Female,Not really,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:28,10th,TOP,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:30,11th,Health and Business,,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:31,11th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:31,12th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:32,10th,"Arts, Hospitality, and Education",Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:32,10th,Health and Business,Female,Very much,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:25:32,10th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,No,No,No,Yes,Yes,I'm not sure
2/14/2022 9:25:32,10th,Health and Business,Male,Very much,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:34,9th,STEAM,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,I'm not sure
2/14/2022 9:25:34,12th,"Arts, Hospitality, and Education",Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:35,9th,Health and Business,Female,Not really,No,Yes,No,Not at all,No,No,No,Yes,Yes,Not at all
2/14/2022 9:25:35,10th,"Arts, Hospitality, and Education",Male,Not really,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:25:37,9th,TOP,Female,Not really,Sort of,Yes,Yes,Not at all,No,No,No,No,No,I'm not sure
2/14/2022 9:25:37,9th,"Arts, Hospitality, and Education",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,,Yes,Yes,I'm not sure
2/14/2022 9:25:38,9th,,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:39,12th,"Arts, Hospitality, and Education",Female,Sort of,No,No,No,I think so,No,No,No,Yes,No,I'm not sure
2/14/2022 9:25:39,12th,"Arts, Hospitality, and Education",Female,Not really,No,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:25:39,10th,STEAM,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:40,11th,Health and Business,Female,Not really,Sort of,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:40,9th,Health and Business,Female,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:40,11th,Health and Business,Female,Not really,Sort of,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:40,12th,Health and Business,Male,Sort of,Very much,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:25:40,9th,,Male,Not really,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:41,9th,,,Very much,Sort of,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,I think so
2/14/2022 9:25:42,9th,"Arts, Hospitality, and Education",Male,Very much,Sort of,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:42,9th,"Skilled Trades, Security, and Industry",Female,Very much,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:43,9th,"Skilled Trades, Security, and Industry",Male,Not really,Very much,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I'm not sure
2/14/2022 9:25:44,11th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:44,12th,"Skilled Trades, Security, and Industry",Male,Very much,Very much,Yes,No,I'm not sure,Yes,Yes,No,No,No,I think so
2/14/2022 9:25:45,10th,"Arts, Hospitality, and Education",Female,Not really,Very much,Yes,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,Not at all
2/14/2022 9:25:45,9th,"Arts, Hospitality, and Education",Female,Not really,Sort of,Yes,Yes,I'm not sure,No,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:25:46,9th,"Arts, Hospitality, and Education",Female,Not really,No,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,Not at all
2/14/2022 9:25:47,9th,,Male,Not really,No,Yes,Yes,I'm not sure,Yes,No,No,Yes,Yes,Not at all
2/14/2022 9:25:47,11th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,No,No,Yes,No,I'm not sure
2/14/2022 9:25:48,10th,"Skilled Trades, Security, and Industry",Male,Sort of,Sort of,Yes,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,I'm not sure
2/14/2022 9:25:50,11th,"Skilled Trades, Security, and Industry",Male,Not really,No,No,Yes,I'm not sure,Yes,No,No,No,No,I'm not sure
2/14/2022 9:25:50,9th,"Arts, Hospitality, and Education",Female,Sort of,Sort of,Yes,No,I'm not sure,Yes,No,No,Yes,No,Not at all
2/14/2022 9:25:52,12th,Health and Business,Male,Sort of,Very much,Yes,Yes,I think so,Yes,Yes,Yes,Yes,Yes,I think so
2/14/2022 9:25:54,11th,Health and Business,Female,Not really,Sort of,Yes,Yes,Not at all,Yes,Yes,No,Yes,Yes,Not at all
