,school_fromFileName,link,cdeSchoolNumber,respondents,type,endYear,final,edLevel,schoolName,schoolNameShort,surveyID
46,Canon City High,https://docs.google.com/spreadsheets/d/1Aijdkzs631ulyXtBQ6l2ywwfztWiaA7k5Yx1Zfhl8ZY/edit?usp=sharing,1266,raters,rating,2021,1,high,Canon City High School,CCHS,46
47,Canon City Middle,https://docs.google.com/spreadsheets/d/1kHg_JesGA9MziQYxd0_MdADXrTcaq43wF1iXXg-XvfY/edit?usp=sharing,1262,raters,rating,2021,1,middle,Canon City Middle School,CCMS,47
48,Canon Exploratory,https://docs.google.com/spreadsheets/d/1yaFd98Q4fxLSu34TbwqYFTpDWFYK3zTMisS1g8CITQE/edit?usp=sharing,7950,raters,rating,2021,1,elementary,Canon Exploratory School,CES,48
49,Harrison,https://docs.google.com/spreadsheets/d/1ocGQMa2W2uo95-KrLBqO-yAR-iXE3b898J5UPMJ5068/edit?usp=sharing,3802,raters,rating,2021,1,K-8,Harrison School,Harrison,49
50,Lincoln,https://docs.google.com/spreadsheets/d/1Tul-YoqMCvWlvSKXgzkW9gf2y6oTxCnrUthEGtW_D14/edit?usp=sharing,5166,raters,rating,2021,1,elementary,Lincoln School of Science and Technology,Lincoln,50
51,McKinley,https://docs.google.com/spreadsheets/d/1pDotneXn_LROW4DTq_O29sSgpn-ehdAjUNUugvh1lR8/edit?usp=sharing,5704,raters,rating,2021,1,elementary,McKinley Elementary School,McKinley,51
52,Washington,https://docs.google.com/spreadsheets/d/1lVIXifcHiTH7KaJrOXUyyNgwvwhRkcQTXsA-AaDPgDQ/edit?usp=sharing,9248,raters,rating,2021,1,elementary,Washington Elementary School,Washington,52
53,NA,https://docs.google.com/spreadsheets/d/1IsJm-IvEfyLMwhqmPp_rhsqSczQ4xY9UNSdHFSbdf_o/edit?usp=sharing,NA,student,survey,2022,1,elementary,NA,NA,55
54,NA,https://docs.google.com/spreadsheets/d/1fg85j9ygfp3PfW-g8TijD0WDtGgZFjigoZgzzLmhx88/edit?usp=sharing,NA,student,survey,2022,1,middle,NA,NA,56
55,NA,https://docs.google.com/spreadsheets/d/121Eiap9P2Ai7CE227NWlhy0BOALBmbfEGCxmvfurEyo/edit?usp=sharing,NA,student,survey,2022,1,high,NA,NA,57
56,NA,https://docs.google.com/spreadsheets/d/1A-wU_BHbrU4YBG5uHi2GGj_RYODBMBW8Gh0YSCUPQeg/edit?usp=sharing,NA,parent,survey,2022,1,NA,NA,NA,58
57,NA,https://docs.google.com/spreadsheets/d/1ijH4B0FE00aUQzNMu1wHspyWrWo0H7Yt0b9CpLunUJ0/edit?usp=sharing,NA,educator,survey,2022,1,NA,NA,NA,59
58,Canon City High School,https://docs.google.com/spreadsheets/d/1qvrtT3wfGSArsojqIHVKw8vaEn6pvFUM22xPPIe9KwU/edit#gid=167419926,1266,raters,rating,2022,1,high,Canon City High School,CCHS,60
59,Canon City Middle School,https://docs.google.com/spreadsheets/d/1aZftMqxQLyLdmF9r4cIwppJbwkkYeoJsYUeoIcMKGy8/edit?usp=sharing,1262,raters,rating,2022,1,middle,Canon City Middle School,CCMS,61
60,Canon Exploratory School,https://docs.google.com/spreadsheets/d/1vsuB_KWEn9VquYU4uad1D7bMIriFIeNsNIt_TkSsGYM/edit?usp=sharing,7950,raters,rating,2022,1,elementary,Canon Exploratory School,CES,62
61,Harrison K-8,https://docs.google.com/spreadsheets/d/1wR8I_uc8u3DhRXcuJh_4SIkKTPjspSzLjY5g1KiRcY0/edit?usp=sharing,3802,raters,rating,2022,1,K-8,Harrison School,Harrison,63
62,Lincoln School of Science and Technology,https://docs.google.com/spreadsheets/d/1gRm4YdstQN89IiUeS019HrVDWfEZXe1Vc7Ul-nwroGY/edit?usp=sharing,5166,raters,rating,2022,1,elementary,Lincoln School of Science and Technology,Lincoln,64
63,McKinley Elementary,https://docs.google.com/spreadsheets/d/17Gb4MKLbs3hogi5HMUnSI7tY5Q_iAUtF2hlvjbv4XPY/edit?usp=sharing,5704,raters,rating,2022,1,elementary,McKinley Elementary School,McKinley,65
64,Washington Elementary,https://docs.google.com/spreadsheets/d/1ENbTboTxvuZEivz0W6W7Qws6uzvk7AhlF_hI6jYVabs/edit?usp=sharing,9248,raters,rating,2022,1,elementary,Washington Elementary School,Washington,66
65,CCHS,https://docs.google.com/spreadsheets/d/1ZoB35ot7ZhjKQfSqwXQpbVOg1CHGC2zemMS5Xu1o2eE/edit#gid=167419926,1266,raters,rating,2020,1,high,Canon City High School,CCHS,67
66,CCMS,https://docs.google.com/spreadsheets/d/1JRC6fqYbpsmFXBp-WlhJfio0MF-MlpIJaUpAW5u3MbM/edit?usp=sharing,1262,raters,rating,2020,1,middle,Canon City Middle School,CCMS,86
67,CES,https://docs.google.com/spreadsheets/d/1kZu2S7eE_ziMHleY4EkvRc31ues85BrwwJEFZSETma4/edit?usp=sharing,7950,raters,rating,2020,1,elementary,Canon Exploratory School,CES,87
68,Harrison,https://docs.google.com/spreadsheets/d/1ABk5HffGGRw33B769cRTU4IJE58W3RiHQtV0YRu4xUg/edit?usp=sharing,3802,raters,rating,2020,1,K-8,Harrison School,Harrison,88
69,Lincoln,https://docs.google.com/spreadsheets/d/1Rh8R5AFSutQkWr4PEHc8lBAZ2cc1Qjm_gxJK2uDCtUU/edit?usp=sharing,5166,raters,rating,2020,1,elementary,Lincoln School of Science and Technology,Lincoln,89
70,McKinley,https://docs.google.com/spreadsheets/d/1QqvW2kQ3bjhx_M5krcXCHMQfTdvUo3-4nX4OlganOj8/edit?usp=sharing,5704,raters,rating,2020,1,elementary,McKinley Elementary School,McKinley,90
71,Washington,https://docs.google.com/spreadsheets/d/1L7HZiLlfbtorruP6S9e3_SPmhderANpQETP9kTQIRLs/edit?usp=sharing,9248,raters,rating,2020,1,elementary,Washington Elementary School,Washington,91
